DCE_ID	Hits
>943-S-l	67
>944-A-l	18
>944-S-l	56
>945-A-l	2
>945-S-l	16
>946-S-l	29
>950-S-l	30
>951-A-l	14
>951-A-r	17
>951-S-r	2
>952-S-l	41
>953-A-l	4
>954-A-l	42
>954-S-l	15
>956-A-l	2
>956-S-l	80
>957-S-l	10
>958-A-r	1
>958-S-r	10
>959-A-l	1
>959-S-l	10
>960-A-r	36
>960-S-r	11
>961-A-l	10
>961-S-l	56
>962-A-l	21
>962-S-l	41
>964-A-l	10
>964-S-l	14
>965-A-l	1
>967-A-l	1
>967-S-l	65
>968-A-r	111
>969-A-l	7
>969-S-l	3
>970-A-l	3
>970-S-l	2
>971-A-l	60
>971-S-l	6
>972-A-r	8
>972-S-r	35
>973-A-l	4
>973-S-l	12
>974-A-l	211
>974-S-l	124
>975-A-l	4
>975-S-l	3
>976-A-l	1
>976-S-l	139
>977-A-l	6
>977-S-l	45
>978-A-l	101
>979-A-l	80
>979-S-l	1
>980-A-l	10
>980-S-l	83
>981-A-l	1
>981-S-l	59
>982-S-l	22
>983-A-l	1
>983-S-l	1
>984-A-l	2
>984-S-l	36
>985-S-r	51
>986-A-l	38
>986-S-l	109
>989-A-l	2
>989-S-l	14
>990-S-l	36
>991-A-l	22
>992-S-l	12
>993-A-l	19
>993-S-l	13
>994-S-l	1
>994-S-r	90
>995-A-r	1
>995-S-r	85
>996-A-l	1
>996-S-l	142
>997-S-l	1
>998-A-l	3
>1001-S-l	1
>1002-A-l	2
>1002-S-l	65
>1003-A-l	59
>1005-S-l	1
>1006-S-l	27
>1007-S-l	27
>1009-S-l	4
>1010-S-l	1
>1011-A-l	10
>1011-S-l	4
>1013-S-r	1
>1014-S-l	1
>1015-S-l	20
>1016-A-l	32
>1016-S-l	10
>1017-A-l	1
>1017-A-r	3
>1017-S-l	95
>1017-S-r	80
>1018-A-l	21
>1018-S-l	1
>1019-A-l	4
>1019-S-l	21
>1020-A-l	3
>1020-S-l	125
>1021-S-r	7
>1022-A-l	7
>1023-A-l	4
>1023-S-l	1
>1025-A-l	1
>1025-S-l	8
>1027-S-r	5
>1028-A-l	13
>1028-S-l	13
>1029-A-l	135
>1030-A-r	2
>1030-S-r	64
>1031-S-l	51
>1032-S-l	51
>1033-A-l	4
>1033-S-l	209
>1035-S-l	14
>1038-A-l	190
>1038-S-l	4
>1039-A-l	13
>1039-A-r	5
>1039-S-l	19
>1039-S-r	33
>1040-A-l	1
>1040-S-l	56
>1042-A-l	5
>1042-S-l	4
>1043-A-l	20
>1043-S-l	32
>1044-A-l	10
>1044-S-l	93
>1045-A-l	12
>1045-S-l	36
>1046-A-l	38
>1046-S-l	1
>1047-A-l	4
>1047-S-l	39
>1048-S-l	29
>1049-S-r	11
>1050-S-l	32
>1051-S-l	10
>1052-S-l	12
>1053-A-l	26
>1053-S-l	6
>1054-A-l	18
>1054-S-l	2
>1055-A-l	11
>1057-S-l	35
>1058-A-l	17
>1059-S-l	3
>1060-S-l	15
>1061-A-l	2
>1062-A-l	2
>1063-A-l	15
>1063-S-l	12
>1064-A-l	4
>1064-S-l	21
>1065-A-l	20
>1069-S-r	13
>1070-A-l	2
>1070-S-l	4
>1071-S-l	1
>1073-A-l	6
>1073-S-l	14
>1074-A-l	1
>1074-S-l	16
>1075-A-r	7
>1075-S-r	118
>1076-A-r	7
>1076-S-r	62
>1077-A-l	2
>1077-S-l	29
>1078-A-l	16
>1078-S-l	163
>1079-A-l	46
>1079-S-l	3
>1080-A-l	1
>1080-S-l	5
>1081-A-l	1
>1081-S-l	3
>1082-A-l	2
>1082-S-l	2
>1083-A-r	29
>1083-S-r	2
>1084-S-l	52
>1086-A-r	3
>1086-S-r	30
>1090-S-l	14
>1091-A-l	4
>1096-S-l	28
>1097-A-l	92
>1097-S-l	6
>1099-A-l	1
>1099-S-l	1
>1101-A-l	1
>1101-S-l	13
>1102-A-r	1
>1102-S-r	55
>1103-S-l	4
>1104-A-l	1
>1104-S-l	2
>1105-A-l	6
>1107-A-l	1
>1107-S-l	119
>1108-A-l	2
>1109-A-l	132
>1109-S-l	19
>1111-A-l	4
>1111-S-l	2
>1113-S-r	1
>1114-A-l	4
>1114-S-l	42
>1117-S-l	75
>1118-A-l	91
>1119-A-l	7
>1120-A-l	1
>1120-S-l	103
>1121-A-r	1
>1121-S-r	2
>1122-A-l	1
>1122-S-l	55
>1125-A-l	1
>1126-A-l	134
>1127-S-l	2
>1128-A-l	89
>1128-S-l	5
>1129-S-l	8
>1130-A-l	8
>1130-S-l	4
>1131-A-l	1
>1131-S-l	17
>1132-S-r	4
>1133-S-l	8
>1134-A-l	7
>1134-S-l	5
>1135-S-l	5
>1136-S-l	3
>1137-S-l	8
>1138-A-r	6
>1138-S-r	4
>1139-A-l	99
>1139-S-l	9
>1140-A-l	1
>1140-S-l	1
>1141-A-l	11
>1141-S-l	21
>1142-S-l	24
>1152-A-l	4
>1152-A-r	4
>1152-S-r	4
>1154-A-l	4
>1154-A-r	12
>1154-S-l	4
>1154-S-r	12
>1155-A-r	9
>1155-S-r	1
>1156-A-l	62
>1156-S-l	36
>1157-A-l	17
>1157-S-l	12
>1158-S-l	3
>1159-A-l	5
>1159-S-l	281
>1160-S-l	4
>1161-S-l	2
>1162-S-l	2
>1163-A-l	2
>1163-S-l	49
>1164-A-r	17
>1164-S-r	3
>1165-A-l	1
>1165-S-l	37
>1166-A-l	1
>1166-S-l	20
>1167-A-r	3
>1167-S-r	21
>1168-S-r	21
>1169-S-r	21
>1170-S-l	29
>1170-S-r	13
>1171-A-l	3
>1171-S-l	34
>1172-A-l	2
>1172-S-l	34
>1173-A-l	1
>1173-S-l	61
>1174-S-l	29
>1175-S-l	17
>1176-A-l	6
>1176-S-l	75
>1177-A-l	5
>1177-S-l	2
>1178-A-l	84
>1178-S-l	156
>1179-A-l	7
>1179-S-l	373
>1181-S-l	200
>1182-A-l	3
>1182-S-l	200
>1183-S-l	61
>1184-S-l	11
>1185-A-r	98
>1185-S-r	54
>1186-S-l	33
>1187-A-l	18
>1187-S-l	1318
>1188-A-r	96
>1189-S-l	10
>1190-A-l	27
>1190-S-l	32
>1191-S-l	12
>1192-A-l	51
>1192-A-r	159
>1192-S-l	39
>1192-S-r	3
>1193-A-r	19
>1193-S-r	2
>1194-S-l	19
>1195-A-l	131
>1195-S-l	48
>1196-S-l	59
>1197-A-l	3
>1197-S-l	57
>1198-S-r	6
>1199-A-l	10
>1199-S-l	31
>1200-S-l	31
>1201-A-l	43
>1201-S-l	1
>1202-A-l	12
>1202-S-l	77
>1203-A-l	3
>1204-S-l	67
>1205-A-l	2
>1205-S-l	57
>1206-A-l	340
>1206-S-l	3
>1207-A-l	10
>1207-S-l	6
>1208-S-r	45
>1213-S-r	1234
>1214-A-r	5
>1215-S-l	133
>1216-A-r	18
>1216-S-r	13
>1217-A-l	30
>1218-A-l	23
>1219-S-l	1
>1221-A-l	29
>1222-S-l	39
>1223-S-l	36
>1224-A-l	12
>1224-S-l	46
>1225-A-r	68
